100	0.000020
200	0.000040
300	0.000065
400	0.000091
500	0.000112
600	0.000143
700	0.000165
800	0.000189
900	0.000212
1000	0.000239
1100	0.000267
1200	0.000294
1300	0.000320
1400	0.000352
1500	0.000380
1600	0.000394
1700	0.000441
1800	0.000440
1900	0.000454
2000	0.000494
2100	0.000520
2200	0.000539
2300	0.000580
2400	0.000584
2500	0.000622
2600	0.000661
2700	0.000665
2800	0.000732
2900	0.000721
3000	0.000749
3100	0.000753
3200	0.000789
3300	0.000852
3400	0.000852
3500	0.000858
3600	0.000884
3700	0.000925
3800	0.000936
3900	0.000972
4000	0.001008
4100	0.000409
4200	0.000416
4300	0.000425
4400	0.000473
4500	0.000458
4600	0.000477
4700	0.000483
4800	0.000506
4900	0.000527
5000	0.000511
5100	0.000552
5200	0.000528
5300	0.000589
5400	0.000593
5500	0.000573
5600	0.000584
5700	0.000596
5800	0.000598
5900	0.000609
6000	0.000631
6100	0.000628
6200	0.000646
6300	0.000654
6400	0.000664
6500	0.000677
6600	0.000715
6700	0.000689
6800	0.000722
6900	0.000714
7000	0.000752
7100	0.000742
7200	0.000798
7300	0.000773
7400	0.000777
7500	0.000788
7600	0.000784
7700	0.000807
7800	0.000789
7900	0.000797
8000	0.000804
8100	0.000841
8200	0.000857
8300	0.000865
8400	0.000881
8500	0.000923
8600	0.001071
8700	0.001025
8800	0.001029
8900	0.000900
9000	0.000932
9100	0.000987
9200	0.000967
9300	0.000953
9400	0.000948
9500	0.000982
9600	0.000957
9700	0.000966
9800	0.001005
9900	0.000993
10000	0.001025
